Scan:     64      F11011+4107 2010-05-25 +04 05 34.0
         OPTICAL                 Jy    
        km/s-BAR                 I
        11766.65869358765    -0.03739504
        11761.78873161606    -0.02098567
        11756.91892188627    -0.01436373
        11752.04926439111   -0.004643208
        11747.17975912357    -0.01200698
        11742.31040607633    -0.01214919
        11737.44120524235    -0.01759285
        11732.57215661443    -0.01358721
        11727.70326018551    -0.01438429
        11722.83451594840    -0.02219833
        11717.96592389605    -0.01782613
        11713.09748402114    -0.02418919
        11708.22919631674    -0.01470782
        11703.36106077560   -0.005889548
        11698.49307739060   -0.005508004
        11693.62524615467   -0.009862032
        11688.75756706056    -0.01005207
        11683.89004010129    -0.01204530
        11679.02266526953   -0.008655668
        11674.15544255836   -0.007575573
        11669.28837196051   -0.005390976
        11664.42145346888   -0.003269979
        11659.55468707640   -0.004919985
        11654.68807277582   -0.009027949
        11649.82161056008   -0.006113930
        11644.95530042212   -0.002266570
        11640.08914235469   -0.003394779
        11635.22313635074   -0.003072814
        11630.35728240307   -0.003085557
        11625.49158050463   -0.001609487
        11620.62603064829   0.0003187203
        11615.76063282686   -0.002134355
        11610.89538703330  -0.0005438518
        11606.03029326034   -0.001884650
        11601.16535150099  -0.0009496046
        11596.30056174814    0.002053379
        11591.43592399452   0.0007121142
        11586.57143823322   -0.001099208
        11581.70710445683  -7.577503e-05
        11576.84292265852   0.0009218494
        11571.97889283101   -0.001545027
        11567.11501496719    0.001179455
        11562.25128906001   0.0004200387
        11557.38771510220   9.923398e-05
        11552.52429308678    0.001790618
        11547.66102300663    0.001495819
        11542.79790485448   -0.001583557
        11537.93493862342   -0.001925060
        11533.07212430612   -0.001739569
        11528.20946189566   -0.001245127
        11523.34695138478  -0.0005098773
        11518.48459276644  -0.0009233683
        11513.62238603350    0.001490356
        11508.76033117877  -0.0006170947
        11503.89842819527    0.001111180
        11499.03667707588    0.001284856
        11494.17507781326  -0.0006830813
        11489.31363040058   0.0007358703
        11484.45233483056    0.001426032
        11479.59119109615  -0.0006693872
