Scan:    106      F04191-1855 2010-05-15 +17 50 56.0
         OPTICAL                 Jy    
        km/s-BAR                 I
        11061.15253734876      -6.350638
        11056.30497973578      -5.519507
        11051.45757330932      -4.797158
        11046.61031806238      -4.160081
        11041.76321398792      -3.605524
        11036.91626107880      -3.102330
        11032.06945932797      -2.668363
        11027.22280872844      -2.302624
        11022.37630927302      -1.958485
        11017.52996095473      -1.665497
        11012.68376376637      -1.422492
        11007.83771770095      -1.203119
        11002.99182275155      -1.006731
        10998.14607891086     -0.8498725
        10993.30048617193     -0.7120156
        10988.45504452766     -0.5930182
        10983.60975397105     -0.4866891
        10978.76461449492     -0.3986593
        10973.91962609233     -0.3270883
        10969.07478875611     -0.2648031
        10964.23010247920     -0.2141368
        10959.38556725466     -0.1680654
        10954.54118307525     -0.1316681
        10949.69694993412     -0.1033515
        10944.85286782393    -0.08109210
        10940.00893673789    -0.05822467
        10935.16515666869    -0.04432309
        10930.32152760954    -0.02974848
        10925.47804955311    -0.02394745
        10920.63472249255    -0.01388813
        10915.79154642060    -0.01024110
        10910.94852133033   -0.004775307
        10906.10564721470   6.780634e-05
        10901.26292406658   -0.001318945
        10896.42035187904   0.0002116897
        10891.57793064477   -0.001057946
        10886.73566035696  -7.518751e-05
        10881.89354100838   0.0004890636
        10877.05157259216    0.002586410
        10872.20975510104    0.001175245
        10867.36808852804   0.0001271080
        10862.52657286617  -4.152726e-05
        10857.68520810830    0.003194600
        10852.84399424738  -0.0009470553
        10848.00293127642   -0.001429310
        10843.16201918829    0.001480210
        10838.32125797594   -0.003587476
        10833.48064763238   -0.001712801
        10828.64018815048    0.001670287
        10823.79987952327   0.0004264010
        10818.95972174361   -0.001475882
        10814.11971480451   -0.001950185
        10809.27985869892  -0.0004773106
        10804.44015341973   0.0008718351
        10799.60059895999   -0.003292956
        10794.76119531252   -0.003614670
        10789.92194247041   0.0007916300
        10785.08284042646    0.001005853
        10780.24388917375   0.0001076698
        10775.40508870515    0.003346402
        10770.56643901368    0.002149962
        10765.72794009228    0.001706238
        10760.88959193383   0.0004231315
        10756.05139453141   -0.001314346
        10751.21334787782  -0.0008488446
        10746.37545196620    0.003285354
        10741.53770678931  -0.0004693042
        10736.70011234022   7.259446e-05
        10731.86266861181   0.0005969001
        10727.02537559722   0.0007803813
        10722.18823328913  -0.0002729872
        10717.35124168068  -0.0001263908
        10712.51440076488    0.001416822
        10707.67771053448  -0.0005304590
        10702.84117098262  -0.0004643859
        10698.00478210217  -0.0005620572
        10693.16854388616    0.001007839
        10688.33245632745   0.0008043569
        10683.49651941906   0.0007025985
        10678.66073315399  -0.0004864234
        10673.82509752506   0.0005377755
        10668.98961252541   0.0009860781
        10664.15427814791   3.293637e-05
        10659.31909438552    0.002579964
        10654.48406123117   4.940809e-05
        10649.64917867795   -0.002807609
        10644.81444671873   -0.002809048
        10639.97986534645   -0.003953568
        10635.14543455412   -0.003353008
        10630.31115433476   -0.001002301
        10625.47702468118  -0.0001883453
        10620.64304558644  -0.0001321911
        10615.80921704357   -0.001139838
        10610.97553904538   -0.001686889
        10606.14201158500   0.0002572935
        10601.30863465531  -0.0005800868
        10596.47540824933    0.004085827
        10591.64233235993    0.003193705
        10586.80940698019    0.002033603
        10581.97663210299   -0.002566488
        10577.14400772133  -0.0003097572
        10572.31153382823   -0.001881344
        10567.47921041656  -0.0001797581
        10562.64703747941   2.077377e-05
        10557.81501500971   0.0005489168
        10552.98314300041  -0.0001478954
        10548.15142144446  -5.794647e-05
        10543.31985033486   -0.001154809
        10538.48842966455  -0.0003434850
        10533.65715942662   -0.001099926
        10528.82603961394   0.0007915469
        10523.99507021946    0.002141975
        10519.16425123625   0.0009976925
        10514.33358265725   0.0003658594
        10509.50306447542   0.0004401971
        10504.67269668369    0.002246573
        10499.84247927514   -0.001068217
        10495.01241224265    0.001556858
        10490.18249557930    0.002861266
        10485.35272927795    0.001142488
        10480.52311333170   0.0003491516
        10475.69364773349    0.001372329
        10470.86433247618  -0.0003994749
        10466.03516755293    0.001083567
        10461.20615295661  -0.0006158797
        10456.37728868023   0.0005229227
