#Cleaned up table to remove duplicates
#On-Source integration time needs to be validated (may have changed between early measurements and 2021 measurements)
#Used last saved measurement in v2 from DATAv2  -- measurements matched ascii spectrum (last saved)
#need to check /data/scratch/dfrayer/GOALS/AGBT10B14/FINAL/Summary_LOG_reduction to verify consistency
#See APJ area for production of this file
#
#Table (c,a names used in program reading and computing 
#(c0) src name
#(a1) Dlum Mpc
#(a2) log10(Lir)
#(a3) Observed F-name
#(c1) Fit mode (0 nondect, 1 gmeasure, 2 gaussian, 3 gaussian ABS, 4 non-gauss ABS, 5 Emission+Abs lower limit)
#(c2) Observed Optical Velocity
#(c3) On-Source Integration time in min (effective with Dual Polarization)
#(c4) Line Jy km/s from stats
#(c5) Peak in mJy
#(c6) ch1
#(c7) ch2
#(c8) Continuum Level Jy
#(c9) RMS in mJy for 7 raw channels (21.36kHz)
#(c10) Line Jy km/s for 50%
#(c11) error on Line
#(c12) Line width 50%
#(c13) error on line width
#(c14) center velocity
#(c15) error on center velocity
#(c16) Line Jy km/s for 20%
#(c17) error on Line
#(c18) Line width 20%
#(c19) error on line width
#(c20) center velocity
#(c21) error on center velocity
#
F02345+2053 58.0 11.07	 F02345+2053 1  4140.0   22.93 16.87  75.56 248 344  0.093  2.03 16.84 0.17  265.0   7.4  4132.6   3.7 16.84 0.18  336.6   3.9  4143.5   1.9
F02401-0013 15.9 11.40	 F02401-0013 1  1136.0   22.93 22.58 112.99 250 329  5.093  8.00 22.60 0.64  255.1  10.1  1139.6   5.0 22.67 0.65  307.5  10.1  1130.6   5.0
F02435+1253 92.4 11.33	 F02435+1253 1  6559.0   45.86 10.79  73.06 260 373  0.005  1.74 10.78 0.07   68.4  16.7  6553.1   8.4 10.74 0.16  359.3  20.4  6437.3  10.2
F02437+2122 98.8 11.16	 F02437+2122 5  6985.0   99.36  1.59   8.67 241 328  0.020  1.04  1.59 0.09  271.6  34.9  7056.0  17.5  1.59 0.09  356.8  35.0  7021.8  17.5
F02512+1446 136.0 11.67	 F02512+1446 2  9354.0   83.78  0.30   4.49 281 342 -0.035  1.61  0.36 0.06  106.1  12.6  9277.9  34.6  0.37 0.11  214.5 100.8  9265.2  50.4
F03117+4151 100.0 11.41	 F03117+4151 1  6997.0   68.82  2.67  13.75 253 333  0.179  1.27  2.67 0.11  287.2  11.7  6995.1   5.8  2.66 0.11  331.2  12.0  6996.7   6.0
F03217+4022 100.0 11.33	 F03217+4022 2  7006.0  105.14  0.38   6.37 274 316 -0.042  1.24  0.39 0.04   75.3   6.0  6984.5  12.7  0.39 0.07  126.3  27.8  6989.2  13.9
F03359+1523 152.0 11.55	 F03359+1523 3 10613.0   87.92 -0.82   1.83 227 323  0.108  1.06  0.73 0.07  154.4  11.3 10746.2  40.8  0.77 0.08  257.5  67.8 10741.4  33.9
F03514+1546 94.3 11.20	 F03514+1546 1  6661.0   22.93  4.92  30.14 269 340  0.118  1.97  4.87 0.15  212.0   5.5  6630.5   2.7  4.88 0.15  239.8   5.5  6628.5   2.7
03582+6012 131.0 11.43	 F03582+6012 2  8997.0   53.52  2.68  14.43 270 368  0.222  1.55  2.53 0.12  201.1   7.2  8865.3  18.2  2.66 0.14  360.4  51.0  8864.8  25.5
F04097+0525 74.9 11.20	 F04097+0525 1  5303.0   22.93 11.84  44.29 235 341  0.088  2.38 11.82 0.24  375.5   6.4  5320.6   3.2 11.84 0.23  413.7   6.4  5316.4   3.2
F04118-3207 51.0 11.07	 F04118-3207 0  3568.0   34.40  0.00   0.00   0   0  0.002  1.97  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F04191-1855 138.5 11.51	 F04191-1855 2  9650.0   38.22  2.59  30.89 239 289  0.059  1.53  2.37 0.12   84.5   3.1  9813.7  10.8  2.59 0.09  145.1   8.4  9799.0   4.2
04271+3849 80.8 11.11	 F04271+3849 0  5639.0   40.94  0.00   0.00   0   0  0.178  1.83  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F04315-0840 67.8 11.65	 F04315-0840 1  4776.0   45.87  0.46  19.32 275 327  0.219  1.61  2.18 0.11  181.6   7.1  4733.5   3.5  2.16 0.11  208.5   7.1  4735.1   3.5
F04326+1904 106.0 11.41	 F04326+1904 1  7408.0   22.93 20.53  46.94 222 378  0.107  1.90 20.45 0.23  557.9  17.6  7390.3   8.8 20.45 0.23  659.7   9.3  7409.4   4.7
F04502-3304 81.3 11.17	 F04502-3304 0  5621.0   22.93  0.00   0.00   0   0 -0.023  2.56  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
