Scan:     24      F01364-1042 2010-05-19 +16 36 58.0
         OPTICAL                 Jy    
        km/s-BAR                 I
   15917.3904309859281057     -0.2057693
   15912.3905548285893019     -0.1840315
   15907.3908370341869158     -0.1628251
   15902.3912775951321237     -0.1460765
   15897.3918765039015852     -0.1356602
   15892.3926337531083846     -0.1201975
   15887.3935493350963952     -0.1047859
   15882.3946232423422771     -0.0950545
   15877.3958554673918115     -0.0812307
   15872.3972460027252964     -0.0704073
   15867.3987948408139346     -0.0650086
   15862.4005019740743592     -0.0525371
   15857.4023673950505327     -0.0408887
   15852.4043910961518122     -0.0363946
   15847.4065730699931009     -0.0266155
   15842.4089133089146344     -0.0183760
   15837.4114118055294966     -0.0125496
   15832.4140685521815612     -0.0074510
   15827.4168835414839123      0.0011817
   15822.4198567658440879      0.0033150
   15817.4229882177442050      0.0079076
   15812.4262778896591044      0.0128141
   15807.4297257742036891      0.0179016
   15802.4333318637181947      0.0207865
   15797.4370961507484026      0.0233904
   15792.4410186277091270      0.0277955
   15787.4450992872061761      0.0290422
   15782.4493381215852423      0.0297405
   15777.4537351234612288      0.0327195
   15772.4582902853089763      0.0347026
   15767.4630035995396611      0.0355178
   15762.4678750586990645      0.0357012
   15757.4729046553311491      0.0391172
   15752.4780923817816074      0.0406437
   15747.4834382306580665      0.0406925
   15742.4889421943753405      0.0415164
   15737.4946042655428755      0.0395728
   15732.5004244365081831      0.0403780
   15727.5064026998770714      0.0427257
   15722.5125390480643546      0.0422835
   15717.5188334736158140      0.0444451
   15712.5252859690062905      0.0446741
   15707.5318965267797466      0.0432415
   15702.5386651393509965      0.0425484
   15697.5455917991966999      0.0448350
   15692.5526764989263029      0.0439319
   15687.5599192309528007      0.0433936
   15682.5673199878201558      0.0433638
   15677.5748787620050280      0.0446449
   15672.5825955459858960      0.0433586
   15667.5904703322448768      0.0429213
   15662.5985031133859593      0.0451261
   15657.6066938817566552      0.0450302
   15652.6150426299700484      0.0440083
   15647.6235493505046179      0.0428182
   15642.6322140358988690      0.0428983
   15637.6410366785694350      0.0434925
