Scan:     36      F02114+0456 2010-05-19 +17 29 47.0
         OPTICAL                 Jy    
        km/s-TOPO                I
   10453.2265892018713203      5.8429804
   10448.3980061636066239      5.1891370
   10443.5695734245146014      4.5795865
   10438.7412909777394816      4.0468602
   10433.9131588162235857      3.5637479
   10429.0851769328473893      3.1293554
   10424.2573453207514831      2.7484071
   10419.4296639728818263      2.4057302
   10414.6021328821170755      2.0959449
   10409.7747520415941835      1.8236897
   10404.9475214441972639      1.5756077
   10400.1204410828686377      1.3645476
   10395.2935109507488960      1.1881168
   10390.4667310407203331      1.0263369
   10385.6401013457889349      0.8788300
   10380.8136218589006603      0.7513868
   10375.9872925731324358      0.6397704
   10371.1611134814247634      0.5402340
   10366.3350845767254214      0.4538030
   10361.5092058521113358      0.3819153
   10356.6834773005266470      0.3210891
   10351.8578989149791596      0.2657910
   10347.0324706884148327      0.2203665
   10342.2071926138432900      0.1779634
   10337.3820646842759743      0.1472892
   10332.5570868927206902      0.1180221
   10327.7322592321252159      0.0942225
   10322.9075816954955371      0.0737498
   10318.0830542758467345      0.0573365
   10313.2586769661847939      0.0440655
   10308.4344497594574932      0.0328321
   10303.6103726486708183      0.0244340
   10298.7864456268398499      0.0164350
   10293.9626686869723926      0.0121430
   10289.1390418220144056      0.0057258
   10284.3155650249736937      0.0037159
   10279.4922382888635184      0.0005931
   10274.6690616066898656      0.0001048
   10269.8460349714678159     -0.0030736
   10265.0231583761378715     -0.0009122
   10260.2004318137805967     -0.0005063
   10255.3778552772691910     -0.0022200
   10250.5554287597515213     -0.0021064
   10245.7331522541026061     -0.0010011
   10240.9110257533975528     -0.0012198
   10236.0890492505841394     -0.0009413
   10231.2672227387356543     -0.0009471
   10226.4455462107980566      0.0023629
   10221.6240196597809700      0.0019688
   10216.8026430787631398      0.0014198
   10211.9814164606195845      0.0011933
   10207.1603397983635659      0.0016653
   10202.3394130851338559      0.0013355
   10197.5186363138127490     -0.0002939
   10192.6980094774753525      0.0011212
   10187.8775325690639875      0.0024178
   10183.0572055815919157      0.0008217
   10178.2370285081342445      0.0006058
   10173.4170013415678113      0.0006998
   10168.5971240750386642      0.0010699
   10163.7773967015564267      0.0004714
   10158.9578192139942985      0.0016816
   10154.1383916054346628     -0.0010232
   10149.3191138688871433     -0.0014735
   10144.4999859974250285     -0.0024452
   10139.6810079839287937     -0.0001163
   10134.8621798215408489     -0.0007079
   10130.0435015031416697     -0.0018765
   10125.2249730218027253     -0.0026522
   10120.4065943706045800     -0.0009111
   10115.5883655424240715      0.0021578
   10110.7702865303399449      0.0013632
   10105.9523573274236696     -0.0008699
   10101.1345779266248428     -0.0026215
   10096.3169483209512691     -0.0028642
   10091.4994685034143913     -0.0000458
   10086.6821384670238331      0.0004829
   10081.8649582048565208     -0.0016785
   10077.0479277098547755     -0.0026780
   10072.2310469750991615     -0.0022159
   10067.4143159935320000     -0.0008841
   10062.5977347582302173      0.0006441
   10057.7813032622034370      0.0013253
   10052.9650214983976184     -0.0004060
   10048.1488894599533523     -0.0014792
   10043.3329071398147789      0.0010331
   10038.5170745309969789      0.0027519
   10033.7013916265059379      0.0000335
   10028.8858584194185823     -0.0006237
   10024.0704749026826903      0.0021660
   10019.2552410694352147      0.0026495
   10014.4401569125602691      0.0012148
   10009.6252224251311418      0.0020775
   10004.8104376002247591     -0.0001286
    9999.9958024307888991      0.0016235
    9995.1813169098950311      0.0000057
    9990.3669810305545980      0.0010229
    9985.5527947857153777     -0.0001156
    9980.7387581685179612     -0.0023575
    9975.9248711719737912      0.0003267
    9971.1111337890251889      0.0030672
    9966.2975460127490805      0.0010894
    9961.4841078361605469      0.0017934
    9956.6708192522637546      0.0016503
    9951.8576802541410871      0.0022910
    9947.0446908347985300      0.0019391
    9942.2318509872475261      0.0013151
    9937.4191607045013370     -0.0029073
    9932.6066199796332512     -0.0038733
    9927.7942288056583493     -0.0028972
    9922.9819871755807981     -0.0019334
    9918.1698950824156782     -0.0009937
    9913.3579525192380970     -0.0000768
    9908.5461594790594972      0.0007905
    9903.7345159549568052     -0.0000327
    9898.9230219398741610      0.0020772
    9894.1116774269521557     -0.0009353
    9889.3004824090730835      0.0006253
    9884.4894368794430193      0.0000526
    9879.6785408309406193     -0.0009479
    9874.8677942566446291      0.0001245
    9870.0571971496938204      0.0015930
    9865.2467495029723068      0.0001135
    9860.4364513096170413     -0.0027608
    9855.6263025625758019      0.0012448
    9850.8163032549909985     -0.0015981
    9846.0064533798085904     -0.0004565
    9841.1967529301655304     -0.0001118
    9836.3872018989477510      0.0011915
    9831.5778002792958432     -0.0014437
    9826.7685480642812763     -0.0005227
    9821.9594452468572854      0.0001461
    9817.1504918200935208     -0.0008260
    9812.3416877770032443     -0.0034116
    9807.5330331107306847     -0.0005463
    9802.7245278141490417      0.0014995
    9797.9161718804734846     -0.0011693
