Scan:     12      F14547+2449 2010-05-16 +08 01 44.0
         OPTICAL                 Jy    
        km/s-BAR                 I
   11506.2186605953393155      0.0825478
   11501.3571033171865565      0.0918314
   11496.4956978827012790      0.0956819
   11491.6344442848949257      0.0918339
   11486.7733425164442451      0.0893109
   11481.9123925703588611      0.0872775
   11477.0515944395847328      0.0844951
   11472.1909481168622733      0.0857030
   11467.3304535952756851      0.0921303
   11462.4701108674271381      0.0844487
   11457.6099199264663184      0.0789614
   11452.7498807652009418      0.0908059
   11447.8899933764423622      0.1071508
   11443.0302577532038413      0.1012195
   11438.1706738882912759      0.1013621
   11433.3112417746542633      0.1093047
   11428.4519614051641838      0.1066000
   11423.5928327726342104      0.1097004
   11418.7338558700757858      0.1116704
   11413.8750306903657474      0.1155507
   11409.0163572263136302      0.1117347
   11404.1578354708653933      0.1149240
   11399.2994654169615387      0.1130845
   11394.4412470574170584      0.1155032
   11389.5831803851742734      0.1210717
   11384.7252653931082023      0.1179473
   11379.8675020740975015      0.1160643
   11375.0098904211536137      0.1224928
   11370.1524304269551067      0.1209240
   11365.2951220846425713      0.1200489
   11360.4379653869600588      0.1204277
   11355.5809603268535284      0.1190141
   11350.7241068972689391      0.1197792
   11345.8674050909448852      0.1206314
   11341.0108549009619310      0.1192542
   11336.1544563201296114      0.1213766
   11331.2982093413265829      0.1222614
   11326.4421139575606503      0.1227882
   11321.5861701616486243      0.1210869
   11316.7303779465255502      0.1233112
   11311.8747373050755414      0.1204742
   11307.0192482301717973      0.1238301
   11302.1639107147620962      0.1220879
   11297.3087247517869400      0.1219641
   11292.4536903340576828      0.1213025
   11287.5988074545857671      0.1222377
   11282.7440761061825469      0.1199446
   11277.8894962817903433      0.1195369
   11273.0350679742859938      0.1195441
   11268.1807911766154575      0.1193719
   11263.3266658816537529      0.1166089
   11258.4726920824141416      0.1204504
   11253.6188697716388560      0.1168457
   11248.7651989423375198      0.1191242
   11243.9116795873906085      0.1196208
   11239.0583116997368052      0.1184156
   11234.2050952721929207      0.1185172
   11229.3520302978304244      0.1174027
   11224.4991167693970056      0.1188272
   11219.6463546799695905      0.1181281
   11214.7937440222904115      0.1180362
   11209.9412847893709113      0.1192342
   11205.0889769740879274      0.1174448
   11200.2368205693874188      0.1171260
   11195.3848155680789205      0.1183211
   11190.5329619633030234      0.1194091
   11185.6812597476746305      0.1184672
   11180.8297089144034544      0.1190432
   11175.9783094561644248      0.1197313
   11171.1270613659708033      0.1180797
   11166.2759646368322137      0.1182121
   11161.4250192614927073      0.1195782
   11156.5742252328927862      0.1198513
   11151.7235825441166526      0.1170471
   11146.8730911879702035      0.1171875
   11142.0227511573320953      0.1174494
   11137.1725624451428303      0.1187250
   11132.3225250443520054      0.1177703
   11127.4726389479001227      0.1173200
   11122.6229041486640199      0.1186081
   11117.7733206395223533      0.1188684
   11112.9238884134865657      0.1224206
   11108.0746074634298566      0.1209992
   11103.2254777823018230      0.1206956
   11098.3764993629756646      0.1208925
   11093.5276721983955213      0.1211496
   11088.6789962815728359      0.1182434
   11083.8304716052516596      0.1188494
   11078.9820981625089189      0.1209266
   11074.1338759462214512      0.1184986
   11069.2858049492679129      0.1189376
   11064.4378851646579278      0.1206875
   11059.5901165852028498      0.1196320
   11054.7424992039104836      0.1187973
   11049.8950330137267883      0.1185286
   11045.0477180075286014      0.1185841
   11040.2005541782618820      0.1182052
   11035.3535415188671323      0.1167658
   11030.5066800222921302      0.1181571
   11025.6599696814082563      0.1165605
   11020.8134104890996241      0.1200112
   11015.9670024384377029      0.1183065
   11011.1207455223011493      0.1175229
   11006.2746397335049551      0.1172094
   11001.4286850651205896      0.1214280
   10996.5828815100940119      0.1204776
   10991.7372290611710923      0.1200744
   10986.8917277115579054      0.1200075
   10982.0463774539366568      0.1193650
   10977.2011782813151513      0.1164403
   10972.3561301867703150      0.1173650
   10967.5112331629807159      0.1189054
   10962.6664872030887636      0.1196187
   10957.8218922999731149      0.1197617
   10952.9774484465779096      0.1182361
   10948.1331556357781665      0.1221668
   10943.2890138605180255      0.1202214
   10938.4450231138107483      0.1190376
   10933.6011833885331725      0.1208231
   10928.7574946776258003      0.1199100
   10923.9139569740345905      0.1215374
   10919.0705702707709861      0.1197183
   10914.2273345606445218      0.1198556
   10909.3842498366648215      0.1206502
   10904.5413160917105415      0.1203021
   10899.6985333187931246      0.1211070
   10894.8559015109203756      0.1204772
   10890.0134206608381646      0.1196704
   10885.1710907616215991      0.1215348
   10880.3289118062184571      0.1210730
   10875.4868837875037570      0.1204158
   10870.6450066985526064      0.1205988
   10865.8032805321108754      0.1198361
   10860.9617052811881877      0.1207503
   10856.1202809388651076      0.1166528
   10851.2790074978820485      0.1188979
   10846.4378849513159366      0.1204548
   10841.5969132921127311      0.1227763
   10836.7560925131474505      0.1204430
   10831.9154226075006591      0.1202308
   10827.0749035679127701      0.1208214
   10822.2345353874625289      0.1202813
   10817.3943180591595592      0.1196181
   10812.5542515758152149      0.1185185
   10807.7143359303736361      0.1180909
   10802.8745711159117491      0.1153304
   10798.0349571253063914      0.1180042
   10793.1954939515017031      0.1189091
   10788.3561815874400054      0.1176751
   10783.5170200261345599      0.1184411
   10778.6780092604603851      0.1182590
   10773.8391492833634402      0.1178802
   10769.0004400878533488      0.1196581
   10764.1618816669379157      0.1156482
   10759.3234740134303138      0.1173580
   10754.4852171203438047      0.1183646
   10749.6471109806170716      0.1176984
   10744.8091555872615572      0.1184120
   10739.9713509332232206      0.1163684
   10735.1336970113788993      0.1178311
   10730.2961938146727334      0.1205697
   10725.4588413362471329      0.1174954
   10720.6216395688461489      0.1196849
   10715.7845885055467079      0.1159753
   10710.9476881392274663      0.1181997
