Scan:     12      F01076-1707 2010-05-19 +15 44 40.0
         OPTICAL                 Jy    
        km/s-BAR                 I
   11454.6134962639425794      1.7315208
   11449.7540212516723841      1.6012561
   11444.8946979782958806      1.4552531
   11440.0355264366189658      1.3244489
   11435.1765066194548126      1.2101953
   11430.3176385198148637      1.1052867
   11425.4589221305068349      1.0069734
   11420.6003574444748665      0.9120125
   11415.7419444546667364      0.8327040
   11410.8836831538883416      0.7541303
   11406.0255735350201576      0.6779842
   11401.1676155910699890      0.6187112
   11396.3098093149183114      0.5850769
   11391.4521546993073571      0.5268749
   11386.5946517372485687      0.4816335
   11381.7373004216824484      0.4415875
   11376.8801007454258070      0.4019262
   11372.0230527014846302      0.3729802
   11367.1661562826029694      0.3412533
   11362.3094114817940863      0.3166109
   11357.4528182919329993      0.2924267
   11352.5963767058983649      0.2720776
   11347.7400867166306853      0.2528003
   11342.8839483169467712      0.2351051
   11338.0279614999180922      0.2198354
   11333.1721262582905183      0.2083579
   11328.3164425849427062      0.1949258
   11323.4609104729515821      0.1849888
   11318.6055299151266809      0.1747439
   11313.7503009042775375      0.1690580
   11308.8952234334828972      0.1628474
   11304.0402974955541140      0.1565350
   11299.1855230833007226      0.1508821
   11294.3309001898669521      0.1461928
   11289.4764288079968537      0.1404419
   11284.6221089305654459      0.1371221
   11279.7679405506532930      0.1343107
   11274.9139236610026273      0.1336890
   11270.0600582545594079      0.1304845
   11265.2063443242641370      0.1301871
   11260.3527818630627735      0.1284955
   11255.4993708637648524      0.1284540
   11250.6461113193163328      0.1261527
   11245.7930032227268384      0.1253270
   11240.9400465667404205      0.1237272
   11236.0872413443648838      0.1246290
   11231.2345875485461875      0.1243536
   11226.3820851720956853      0.1269598
   11221.5297342080248200      0.1264788
   11216.6775346492104291      0.1225878
   11211.8254864885275310      0.1245963
   11206.9735897189184470      0.1252891
   11202.1218443333345931      0.1289722
   11197.2702503246437118      0.1281461
   11192.4188076857317355      0.1255750
   11187.5675164096046501      0.1244065
   11182.7163764891374740      0.1236784
   11177.8653879172143206      0.1262187
   11173.0145506868393568      0.1258893
   11168.1638647908275743      0.1256451
   11163.3133302221212944      0.1285781
   11158.4629469736610190      0.1280448
   11153.6127150383945263      0.1254508
   11148.7626344092004729      0.1262910
   11143.9127050790193607      0.1266085
   11139.0629270407953300      0.1259020
   11134.2133002872724319      0.1251967
   11129.3638248116640170      0.1257518
   11124.5145006067123177      0.1248321
   11119.6653276652923523      0.1239577
   11114.8163059804846853      0.1253385
   11109.9674355450988514      0.1253694
