Scan:     46      F10173+0828 2010-05-13 +22 58 11.0
         OPTICAL                 Jy    
        km/s-BAR                 I
   16171.9550984943361982     -0.0028886
   16166.9463864625395217      0.0181024
   16161.9378332258347655      0.0160933
   16156.9294387766331056      0.0099495
   16151.9212031074785045      0.0067554
   16146.9131262107130169      0.0087038
   16141.9052080788860621     -0.0003960
   16136.8974487043378758     -0.0101350
   16131.8898480796160584     -0.0145425
   16126.8824061971281481     -0.0198143
   16121.8751230492907780     -0.0148384
   16116.8679986286460917     -0.0369265
   16111.8610329275379627     -0.0516521
   16106.8542259385103534     -0.0456580
   16101.8475776540417428     -0.0512191
   16096.8410880664778233     -0.0572583
   16091.8347571682970738     -0.0583733
   16086.8285849520416377     -0.0615032
   16081.8225714100572077     -0.0666817
   16076.8167165348895651     -0.0692870
   16071.8110203188825835     -0.0716429
   16066.8054827546457091     -0.0726453
   16061.8001038345919369     -0.0733301
   16056.7948835510669596     -0.0777453
   16051.7898218966802233     -0.0778049
   16046.7849188637101179     -0.0772389
   16041.7801744448333920     -0.0782738
   16036.7755886323302548     -0.0804513
   16031.7711614188119711     -0.0824095
   16026.7668927965532930     -0.0820106
   16021.7627827582364262     -0.0857090
   16016.7588312961343036     -0.0858630
   16011.7550384027981636     -0.0849164
   16006.7514040706319065     -0.0851466
   16001.7479282922522543     -0.0848453
   15996.7446110599339590     -0.0866451
   15991.7414523662901047     -0.0882565
   15986.7384522036645649     -0.0853464
   15981.7356105645358184     -0.0865850
   15976.7329274415133114     -0.0871384
   15971.7304028268772527     -0.0861554
   15966.7280367132370884     -0.0859762
   15961.7258290929385112     -0.0893548
   15956.7237799585254834     -0.0864910
   15951.7218893024764839     -0.0887738
   15946.7201571172699914     -0.0883634
   15941.7185833952480607     -0.0878044
   15936.7171681290255947     -0.0883632
   15931.7159113110101316     -0.0889786
   15926.7148129336837883     -0.0880236
   15921.7138729895177676     -0.0892095
   15916.7130914709305216     -0.0886481
   15911.7124683705314965     -0.0863911
   15906.7120036806609278     -0.0870045
   15901.7116973938682349     -0.0891887
   15896.7115495024954726     -0.0875971
   15891.7115599992212083     -0.0891848
   15886.7117288763911347     -0.0874669
   15881.7120561264819116     -0.0880269
   15876.7125417419701989     -0.0879760
   15871.7131857153381134     -0.0880090
   15866.7139880391259794     -0.0881415
   15861.7149487058122759     -0.0906017
   15856.7160677077426953     -0.0888395
   15851.7173450374648382     -0.0879948
   15846.7187806874499074     -0.0892672
   15841.7203746502455033     -0.0905256
   15836.7221269183319237     -0.0889893
   15831.7240374839839205     -0.0873471
   15826.7261063399473642     -0.0885216
   15821.7283334785679472     -0.0862707
   15816.7307188923205103     -0.0875343
   15811.7332625736853515     -0.0882363
   15806.7359645152064331     -0.0894185
   15801.7388247093622340     -0.0883379
   15796.7418431486275949     -0.0884123
   15791.7450198254191491     -0.0878134
   15786.7483547322099184     -0.0886516
   15781.7518478615475033     -0.0888361
   15776.7554992059722281     -0.0897351
   15771.7593087579007261     -0.0885077
   15766.7632765097423544     -0.0878578
   15761.7674024541756808     -0.0878318
   15756.7716865835409408     -0.0886612
   15751.7761288903202512     -0.0889502
   15746.7807293670575746     -0.0876511
   15741.7854880062277516     -0.0874746
   15736.7904048003147182     -0.0894562
   15731.7954797418569797     -0.0889030
   15726.8007128232020477     -0.0894157
   15721.8061040369611874     -0.0884407
   15716.8116533756110584     -0.0882079
   15711.8173608316992613     -0.0868740
   15706.8232263975642127     -0.0893708
   15701.8292500657553319     -0.0885700
   15696.8354318288838840     -0.0877094
   15691.8417716792919236     -0.0874494
   15686.8482696095252322     -0.0869589
   15681.8549256120641076     -0.0880074
   15676.8617396795161767     -0.0876300
   15671.8687118042253132     -0.0890225
   15666.8758419787372986     -0.0886744
   15661.8831301955342497     -0.0869348
   15656.8905764471546718     -0.0870385
   15651.8981807260788628     -0.0874170
   15646.9059430247853015     -0.0878650
   15641.9138633358179504     -0.0853430
   15636.9219416515206831     -0.0895079
   15631.9301779646393697     -0.0881021
   15626.9385722675178840     -0.0897589
   15621.9471245527001884     -0.0905485
   15616.9558348125974589     -0.0902774
   15611.9647030398209608     -0.0893548
   15606.9737292268491728     -0.0870824
   15601.9829133661605738     -0.0885553
   15596.9922554502991261     -0.0900275
   15592.0017554716741870     -0.0883454
   15587.0114134228333569     -0.0854814
   15582.0212292963860818     -0.0877989
   15577.0312030846780544     -0.0881789
   15572.0413347802495991     -0.0886476
   15567.0516243756501353     -0.0864844
   15562.0620718634236255     -0.0896717
   15557.0726772359794268     -0.0880592
   15552.0834404858633206     -0.0891542
   15547.0943616056174506     -0.0884933
   15542.1054405876566307     -0.0872169
   15537.1166774245903071     -0.0890049
   15532.1280721088969585     -0.0871075
   15527.1396246330514259     -0.0887772
   15522.1513349895358260     -0.0887296
   15517.1632031710250885     -0.0871136
   15512.1752291697994224     -0.0873756
   15507.1874129785337573     -0.0889856
   15502.1997545896410884     -0.0863620
   15497.2122539957326808     -0.0882740
   15492.2249111892851943     -0.0864884
   15487.2377261627116241     -0.0903363
   15482.2506989086232352     -0.0873184
   15477.2638294195603521     -0.0853301
   15472.2771176880050916     -0.0901727
   15467.2905637064377515     -0.0911769
   15462.3041674673277157     -0.0881660
   15457.3179289632935252     -0.0883866
   15452.3318481868100207     -0.0887252
   15447.3459251304211648     -0.0893162
   15442.3601597866072552     -0.0867716
   15437.3745521479122544     -0.0875678
   15432.3891022068091843     -0.0890749
   15427.4038099558511021     -0.0895107
   15422.4186753875073919     -0.0872090
   15417.4336984944620781     -0.0879042
   15412.4488792689880938     -0.0866372
   15407.4642177038367663     -0.0883069
   15402.4797137913446932     -0.0878522
   15397.4953675241285964     -0.0887822
   15392.5111788946633169     -0.0877113
   15387.5271478955601197     -0.0879230
   15382.5432745192338189     -0.0878596
   15377.5595587582229200     -0.0873563
   15372.5760006051441451     -0.0884850
   15367.5926000524723349     -0.0899731
   15362.6093570926841494     -0.0880009
   15357.6262717183290079     -0.0900056
   15352.6433439219472348     -0.0891832
   15347.6605736960173090     -0.0881564
   15342.6779610331504955     -0.0897037
   15337.6955059258925758     -0.0903312
   15332.7132083665856044     -0.0891835
   15327.7310683479099680     -0.0880872
   15322.7490858624096290     -0.0880677
   15317.7672609024939447     -0.0893585
   15312.7855934607759991     -0.0900293
   15307.8040835297997546     -0.0904942
   15302.8227311021091737     -0.0912333
   15297.8415361701154325     -0.0872662
   15292.8604987264316151     -0.0872309
   15287.8796187635980459     -0.0888109
   15282.8988962741623254     -0.0860625
   15277.9183312506047514     -0.0861424
   15272.9379236855293129     -0.0893306
   15267.9576735712871596     -0.0899914
   15262.9775809006187046     -0.0872552
   15257.9976456660024269     -0.0870425
   15253.0178678599859268     -0.0880768
   15248.0382474749785615     -0.0885720
